Title,Author,Run Time
"Bitcoin and Blockchain Basics: A Non-Technical Introduction for Beginners on Blockchain Technology, Cryptocurrency, Bitcoin, Altcoins, Ethereum, Ripple, Investing, Mining, Wallets and Smart Contracts",Arthur T. Brooks,Duração: 5 horas e 32 minutos
Ethical Hacking for Beginners: How to Build Your Pen Test Lab Fast,Attila Kovacs,Duração: 3 horas e 4 minutos
Agile,Brad Ferguson,Duração: 20 minutos
"Understanding Blockchain: Learn How Blockchain Technology Is Powering Bitcoin, Cryptocurencies, and the Future of the Internet",Daniel Frumkin,Duração: 1 hora e 49 minutos
SQL: Guía completa para principiantes de la programación SQL con ejercicios y estudios de casos (Libro En Espanol/SQL Spanish Book Version),Paige Jacobs,Duração: 4 horas e 27 minutos
Blockchain 2.0 Simply Explained: Far More Than Just Bitcoin,Julian Hosp,Duração: 6 horas e 14 minutos
The Cryptocurrency - Blockchain Connection,Wayne Walker,Duração: 2 horas
SQL: 2 Books in 1: Advanced and Elite Level SQL from the Ground Up,Keith Dvorjak,Duração: 4 horas e 30 minutos
SQL: 2 Books in 1,Keith Dvorjak,Duração: 5 horas e 34 minutos
Ciencia de los Datos [Data Science],Herbert Jones,Duração: 3 horas e 38 minutos
Data Leverage: Unlocking the Surprising Growth Potential of Data Partnerships,Christian J. Ward,Duração: 6 horas e 30 minutos
Amateur Radio: Your Guide to Start Leaning Everything About Ham Radio,Erik Smith,Duração: 45 minutos
Blockchain: Aplicaciones y Entendimiento en El Mundo Real: Como el Blockchain Puede Ser Aplicado a Tu Mundo [Blockchain: Real-World Applications and Understanding: How Blockchain Can Be Applied In Your World],Wayne Walker,Duração: 58 minutos
SQL,Paige Jacobs,Duração: 4 horas e 39 minutos
SQL,Keith Dvorjak,Duração: 1 hora e 57 minutos
Java 8 in Action,Raoul-Gabriel Urma,Duração: 12 horas e 54 minutos
Analítica de datos [Data Analytics],Herbert Jones,Duração: 3 horas e 1 minuto
"Alexa - Echo Plus Buch 2018: Das detaillierteste Handbuch für Alexa Echo Plus - Anleitungen zu Einrichtung, Smart Home-Hub, Prime Bestellungen, ... IFTT, Skills, & Lustiges",Alexander Lechoba,Duração: 3 horas e 8 minutos
Spark in Action,Petar Zecevic,Duração: 15 horas e 34 minutos
Data Science,Herbert Jones,Duração: 3 horas e 13 minutos
Big Data: Principles and Best Practices of Scalable Realtime Data Systems,Nathan Marz,Duração: 9 horas e 15 minutos
Real-World Machine Learning,Henrik Brink,Duração: 7 horas
Go in Action,William Kennedy,Duração: 5 horas e 38 minutos
R in Action: Data Analysis and Graphics with R,Robert Kabacoff,Duração: 14 horas e 3 minutos
Spring in Action: Covers Spring 4,Craig Walls,Duração: 20 horas e 7 minutos
"Data Analytics: The Ultimate Guide to Big Data Analytics for Business, Data Mining Techniques, Data Collection, and Business Intelligence Concepts",Herbert Jones,Duração: 5 horas e 1 minuto
Docker in Action,Jeff Nickoloff,Duração: 10 horas e 12 minutos
SQL: Advanced Level SQL from the Ground Up,Keith Dvorjak,Duração: 2 horas e 32 minutos
Python Programming Illustrated for Beginners & Intermediates: The Future Is Here!,William Sullivan,Duração: 4 horas e 34 minutos
Building Intelligent Systems,Geoff Hulten,Duração: 10 horas e 19 minutos
How to Learn Microsoft SQL Server Quickly!,Andrei Besedin,Duração: 3 horas e 9 minutos
The Undersea Network,Nicole Starosielski,Duração: 10 horas e 52 minutos
Ethereum Bible: All You Need to Know About Ethereum,Rafael Ramirez,Duração: 1 hora e 14 minutos
What Stays in Vegas,Adam Tanner,Duração: 9 horas e 9 minutos
Hashgraph vs. Blockchain,Stephen C. Keller,Duração: 1 hora e 7 minutos
SQL: Intermediate Level SQL from the Ground Up,Keith Dvorjak,Duração: 2 horas e 54 minutos
Big Data,Timandra Harkness,Duração: 9 horas e 46 minutos
Docker: The Comprehensive Beginner’s Guide to Take Control of Docker Programming,Miles Price,Duração: 1 hora e 34 minutos
"Ethereum: Complete Guide to Understanding Ethereum, Blockchain, Smart Contracts, ICOs, and Decentralized Apps",Mark Gates,Duração: 2 horas e 10 minutos
MySpace for Moms and Dads,Connie Neal,Duração: 5 horas e 48 minutos
"Ethereum: An Essential Beginner’s Guide to Ethereum Investing, Mining, and Smart Contracts",Herbert Jones,Duração: 2 horas e 17 minutos
SQL Mastery: The MasterClass Guide to Become an SQL Expert,Jonathan S. Walker,Duração: 1 hora e 31 minutos
"Big Data: The Revolution That Is Transforming Our Work, Market, and World",Pat Nakamoto,Duração: 1 hora e 46 minutos
SQL: Create Your Own Database Fast!,Gary Mitnick,Duração: 1 hora e 39 minutos
SQL QuickStart Guide,Walter Shields,Duração: 4 horas e 9 minutos
"BLOCKCHAIN: Blockchain Blueprint. The ultimate guide to understanding blockchain, bitcoin, cryptocurrencies, smart contracts and the internet of money (Cryptocurrency technologies)",Pat Nakamoto,Duração: 2 horas e 9 minutos
How to Master Email Marketing,Smart Reads,Duração: 1 hora e 23 minutos
Hacking,Gary Mitnick,Duração: 1 hora e 21 minutos
Data Analytics,James Fahl,Duração: 1 hora e 26 minutos
Python Programming in a Day - 2nd Edition,Sam Key,Duração: 1 hora e 10 minutos
"A Simple Introduction to Data Science, Book 2",Lars Nielsen,Duração: 1 hora e 1 minuto
Big Data Appliances for In-Memory Computing,Dr. Ganapathi Pulipaka,Duração: 5 horas e 56 minutos
Dark Data & Dark Social,Lars Nielsen,Duração: 1 hora e 9 minutos
How to Recover Deleted Files,HowExpert Press,Duração: 57 minutos
Hacking,Solis Tech,Duração: 2 horas e 21 minutos
C++ and Data Analytics 2 Bundle Manuscript,Isaac D. Cody,Duração: 2 horas e 39 minutos
Python,Mike R Valley,Duração: 1 hora e 45 minutos
SQL with a Smile: An Easygoing Guide to SQL Basics,Elaine Kellner,Duração: 1 hora e 17 minutos
Data Lake Architecture,Bill Inmon,Duração: 2 horas e 33 minutos
MySQL Replication Simplified,Sribatsa Das,Duração: 4 horas e 31 minutos
App Development: App Design and Development for Beginners,Rob Justice,Duração: 1 hora e 8 minutos
Data Analytics and Linux Operating System 2 Manuscript Bundle,Isaac D. Cody,Duração: 2 horas e 32 minutos
Hacking University: Learn Python Computer Programming from Scratch & Precisely Learn How the Linux Operating Command Line Works,Isaac D. Cody,Duração: 3 horas e 24 minutos
"Blockchain: Bitcoin, Ethereum, Smart Contracts, Cryptocurrencies and Everything About the Fintech Explained",Shane Bock,Duração: 1 hora e 6 minutos
SQLite for Mobile Apps Simplified,Sribatsa Das,Duração: 1 hora e 16 minutos
Data Analytics for Beginners,Jonathan S. Walker,Duração: 1 hora e 26 minutos
A Simple Introduction to Data Science,Lars Nielsen,Duração: 1 hora e 24 minutos
Think Database,Ryan Jarvis,Duração: 52 minutos
SQL for Beginners,Preston Prescott,Duração: 1 hora e 27 minutos
Affiliate Marketing,Keith Fugate,Duração: 2 horas e 25 minutos
Integrating Hadoop,William McKnight,Duração: 2 horas e 40 minutos
The UNOFFICIAL Facebooker's Social Survival Guide,Sarah Herman,Duração: 1 hora e 34 minutos
"Alexa - Echo Show Buch 2018: Das detaillierteste Handbuch für Alexa Echo Show - Anleitungen zu Einrichtung, Prime Bestellungen, Telefonie, Video, ... Skills, & Lustiges - 2018",Alexander Lechoba,Duração: 3 horas e 23 minutos
The New World Economy,Randy Charles Epping,Duração: 6 horas e 49 minutos
ChatGPTの衝撃 AIが教えるAIの使い方,矢内 東紀,Duração: 4 horas e 51 minutos
"Spring in Action, Sixth Edition",Craig Walls,Duração: 11 horas e 59 minutos
The Legal Singularity,Abdi Aidid,Duração: 8 horas e 16 minutos
The Fuzzy and the Techie,Scott Hartley,Duração: 8 horas e 35 minutos
"Learn Azure in a Month of Lunches, Second Edition",Iain Foulds,Duração: 11 horas e 48 minutos
Book Publishing and Marketing Secrets,Paul Brodie,Duração: 1 hora e 33 minutos
The Ultimate Big Crazy Wifi Antenna Guide,Philip G Collier,Duração: 1 hora e 32 minutos
Jumpstart Your Career in Data Centers,Carrie Goetz,Duração: 4 horas e 28 minutos
先読み！IT×ビジネス講座 ChatGPT 対話型AIが生み出す未来,古川 渉⼀,Duração: 4 horas e 15 minutos
Amazon Web Services (AWS),Walter Roberts,Duração: 13 horas e 12 minutos
Algorithms of the Intelligent Web,Douglas McIlwraith,Duração: 8 horas e 39 minutos
「技術書」の読書術 達人が教える選び方・読み方・情報発信＆共有のコツとテクニック,IPUSIRON,Duração: 8 horas e 10 minutos
Emerging Internet-Based Technologies,Matthew N.O. Sadiku,Duração: 5 horas e 8 minutos
Data Quality,Prashanth Southekal PhD,Duração: 8 horas e 58 minutos
Data Visualization Guide,Alex Campbell,Duração: 9 horas e 59 minutos
Learning SQL (3rd Edition),Alan Beaulieu,Duração: 7 horas e 29 minutos
Data-ism,Steve Lohr,Duração: 6 horas e 33 minutos
